xbox-lfg	Enabled	Executable	URL:xbox-lfg				19/02/2023 19:19:11	
xbox-network	Enabled	Executable	URL:xbox-network				19/02/2023 19:19:11	
xbox-profile	Enabled	Executable	URL:xbox-profile				19/02/2023 19:19:11	
xbox-settings	Enabled	Executable	URL:xbox-settings				19/02/2023 19:19:11	
xbox-store	Enabled	Executable	URL:xbox-store				19/02/2023 19:19:11	
xbox-tcui	Enabled	Executable	URL:xbox-tcui				19/02/2023 19:19:11	
xboxgames	Enabled	Executable	URL:xboxgames				19/02/2023 19:19:11	
xboxliveapp-1297287741	Enabled	Executable	URL:xboxliveapp-1297287741				19/02/2023 19:19:11	
xboxmusic	Enabled	Executable	URL:xboxmusic				19/02/2023 19:19:11	
zune	Enabled	Executable	URL:zune				19/02/2023 19:19:11	
